quality,interval + next_quality,count,,quality,interval,next_quality,count
major-seventh,3 dominant,47,,major-seventh,3,dominant,47
major-seventh,10 dominant,15,,major-seventh,10,dominant,15
major-seventh,7 minor-seventh,64,,major-seventh,7,minor-seventh,64
major-seventh,5 minor-seventh,28,,major-seventh,5,minor-seventh,28
major-seventh,6 minor-seventh,80,,major-seventh,6,minor-seventh,80
major-seventh,0 major-seventh,434,,major-seventh,0,major-seventh,434
major-seventh,1 minor-seventh,42,,major-seventh,1,minor-seventh,42
major-seventh,4 minor-seventh,68,,major-seventh,4,minor-seventh,68
major-seventh,10 minor-seventh,20,,major-seventh,10,minor-seventh,20
major-seventh,0 dominant,72,,major-seventh,0,dominant,72
major-seventh,9 minor-seventh,166,,major-seventh,9,minor-seventh,166
major-seventh,9 dominant,70,,major-seventh,9,dominant,70
major-seventh,0 minor-seventh,81,,major-seventh,0,minor-seventh,81
major-seventh,3 minor-seventh,6,,major-seventh,3,minor-seventh,6
major-seventh,6 dominant,27,,major-seventh,6,dominant,27
major-seventh,11 minor-seventh,151,,major-seventh,11,minor-seventh,151
major-seventh,5 dominant,101,,major-seventh,5,dominant,101
major-seventh,3 diminished,1,,major-seventh,3,diminished,1
major-seventh,7 major-seventh,22,,major-seventh,7,major-seventh,22
major-seventh,2 minor-seventh,136,,major-seventh,2,minor-seventh,136
major-seventh,0 minor-sixth,14,,major-seventh,0,minor-sixth,14
major-seventh,3 diminished-seventh,16,,major-seventh,3,diminished-seventh,16
major-seventh,5 minor,9,,major-seventh,5,minor,9
major-seventh,4 dominant,43,,major-seventh,4,dominant,43
major-seventh,1 dominant,20,,major-seventh,1,dominant,20
major-seventh,11 major-sixth,5,,major-seventh,11,major-sixth,5
major-seventh,2 dominant,40,,major-seventh,2,dominant,40
major-seventh,5 major-sixth,9,,major-seventh,5,major-sixth,9
major-seventh,11 dominant,55,,major-seventh,11,dominant,55
major-seventh,4 minor,1,,major-seventh,4,minor,1
major-seventh,7 dominant,52,,major-seventh,7,dominant,52
major-seventh,4 minor-ninth,1,,major-seventh,4,minor-ninth,1
major-seventh,2 minor-ninth,1,,major-seventh,2,minor-ninth,1
major-seventh,10 dominant-ninth,1,,major-seventh,10,dominant-ninth,1
major-seventh,7 dominant-ninth,1,,major-seventh,7,dominant-ninth,1
major-seventh,5 dominant-ninth,12,,major-seventh,5,dominant-ninth,12
